count,correct,verified,unsafe,image_time,avg_verif_time,cum_verif_time,model,epsilon
100,14,14,0,0.019,0.334,4.673,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.07
100,14,14,0,0.017,0.337,4.724,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.075
100,14,14,0,0.015,0.37,5.173,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.08
100,14,14,0,0.016,0.335,4.688,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.085
100,14,14,0,0.018,0.346,4.837,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.09
100,14,14,0,0.021,0.359,5.027,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.095
100,14,14,0,0.02,0.33,4.618,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.1
100,61,40,0,0.686,0.962,58.662,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.005
100,61,5,0,1.431,1.341,81.828,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.01
100,61,2,0,1.443,1.415,86.323,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.015
100,61,0,0,1.413,1.382,84.291,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.02
100,61,0,0,1.391,1.376,83.906,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.025
100,61,0,0,1.373,1.394,85.061,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.03
100,61,0,0,1.695,1.445,88.147,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.035
100,61,0,0,1.363,1.462,89.192,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.04
100,61,0,0,1.428,1.412,86.159,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.045
100,61,0,0,1.466,1.406,85.782,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.05
100,61,0,0,1.45,1.43,87.205,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.055
100,61,0,0,1.482,1.414,86.261,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.06
100,61,0,0,1.479,1.447,88.291,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.065
100,61,0,0,1.676,1.425,86.912,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.07
100,61,0,0,1.52,1.43,87.228,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.075
100,61,0,0,1.645,1.468,89.557,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.08
100,61,0,0,1.588,1.543,94.102,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.085
100,61,0,0,1.6,1.548,94.434,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.09
100,61,0,0,1.457,1.475,89.968,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.095
100,61,0,0,1.537,1.446,88.186,DiffAI/out/MNIST/FFNN/Sigmoid/boxSpec/width_0.01/2022-05-04181920.628693/FFNN__Point___checkpoint_11_with_0.972.onnx,0.1
100,65,65,0,0.013,0.347,22.54,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.005
100,65,64,0,0.013,0.359,23.34,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.01
100,65,40,0,0.014,0.484,31.443,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.015
100,65,16,0,0.021,0.796,51.72,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.02
100,65,4,0,0.012,0.909,59.058,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.025
100,65,0,0,0.014,0.677,44.004,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.03
100,65,0,0,0.012,0.683,44.397,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.035
100,65,0,0,0.013,0.631,41.001,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.04
100,65,0,0,0.018,0.64,41.621,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.045
100,65,0,0,0.012,0.64,41.612,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.05
100,65,0,0,0.013,0.605,39.318,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.055
100,65,0,0,0.013,0.601,39.084,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.06
100,65,0,0,0.012,0.604,39.256,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.065
100,65,0,0,0.013,0.602,39.125,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.07
100,65,0,0,0.013,0.605,39.294,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.075
100,65,0,0,0.013,0.604,39.245,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.08
100,65,0,0,0.013,0.604,39.267,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.085
100,65,0,0,0.014,0.604,39.258,DiffAI/out/MNIST/FFNN/Tanh/boxSpec/width_0.01/2022-05-04183625.010670/FFNN__Point___checkpoint_11_with_0.964.onnx,0.09
